Currency,Date,Open,High,Low,Close,Volume,Market Cap
ethereum,"Dec 04, 2019",147.92,150.68,145.00,146.75,"7,865,937,094","15,966,157,442"
ethereum,"Dec 03, 2019",149.06,150.31,146.00,147.96,"6,204,379,850","16,095,928,402"
ethereum,"Dec 02, 2019",151.18,152.12,147.61,149.06,"6,670,561,362","16,214,125,032"
ethereum,"Dec 01, 2019",152.49,152.49,147.07,151.19,"7,102,780,298","16,443,650,814"
ethereum,"Nov 30, 2019",155.29,156.69,151.23,152.54,"6,565,950,868","16,589,132,426"
ethereum,"Nov 29, 2019",151.77,156.85,151.46,155.30,"7,503,898,278","16,887,922,522"
ethereum,"Nov 28, 2019",153.07,156.61,151.09,151.72,"7,346,531,960","16,496,129,470"
ethereum,"Nov 27, 2019",148.40,154.89,143.53,153.01,"8,778,095,308","16,634,910,472"
ethereum,"Nov 26, 2019",146.40,150.00,145.22,148.97,"7,648,516,297","16,193,326,033"
ethereum,"Nov 25, 2019",142.70,150.21,133.80,146.48,"10,962,753,356","15,921,080,564"
ethereum,"Nov 24, 2019",153.43,153.97,142.83,142.83,"7,782,769,098","15,523,459,920"
ethereum,"Nov 23, 2019",150.21,154.10,147.60,153.42,"8,289,198,330","16,671,705,910"
ethereum,"Nov 22, 2019",161.51,163.03,142.34,150.27,"12,020,749,863","16,327,536,038"
ethereum,"Nov 21, 2019",175.67,176.21,159.37,161.46,"8,546,371,325","17,541,867,626"
ethereum,"Nov 20, 2019",177.42,178.99,175.29,175.70,"7,205,785,149","19,086,228,092"
ethereum,"Nov 19, 2019",180.50,182.53,175.20,177.46,"7,536,699,743","19,274,876,583"
ethereum,"Nov 18, 2019",185.04,186.93,179.18,180.56,"7,787,662,111","19,609,782,345"
ethereum,"Nov 17, 2019",183.35,188.19,182.34,185.12,"7,364,325,471","20,102,654,601"
ethereum,"Nov 16, 2019",180.50,184.16,179.99,183.35,"6,789,888,120","19,908,020,821"
ethereum,"Nov 15, 2019",186.06,186.25,179.38,180.52,"8,815,678,477","19,598,770,324"
ethereum,"Nov 14, 2019",188.27,188.63,184.99,186.00,"7,872,664,470","20,191,206,220"
ethereum,"Nov 13, 2019",186.94,189.33,185.94,188.26,"7,343,173,596","20,434,064,781"
ethereum,"Nov 12, 2019",185.56,187.95,184.19,186.84,"7,792,186,666","20,278,071,676"
ethereum,"Nov 11, 2019",189.50,190.34,185.09,185.49,"7,877,424,106","20,128,792,760"
ethereum,"Nov 10, 2019",184.94,190.92,184.69,189.48,"8,752,784,211","20,559,121,065"
ethereum,"Nov 09, 2019",184.31,185.84,183.90,185.03,"7,277,418,704","20,074,095,541"
ethereum,"Nov 08, 2019",187.92,188.82,182.54,184.21,"9,176,780,911","19,983,058,356"
ethereum,"Nov 07, 2019",191.50,191.86,186.57,187.98,"9,081,247,799","20,389,037,934"
ethereum,"Nov 06, 2019",189.11,193.55,188.67,191.59,"10,156,458,684","20,778,894,603"
ethereum,"Nov 05, 2019",186.31,191.26,184.33,189.30,"10,024,177,342","20,528,094,420"
ethereum,"Nov 04, 2019",182.32,188.02,181.82,186.36,"10,551,917,945","20,205,859,402"
ethereum,"Nov 03, 2019",183.99,185.02,179.82,182.43,"8,760,247,744","19,777,347,724"
ethereum,"Nov 02, 2019",184.02,185.71,182.80,183.93,"8,087,991,830","19,937,622,287"
ethereum,"Nov 01, 2019",183.80,185.06,181.09,183.97,"9,145,611,130","19,940,014,311"
ethereum,"Oct 31, 2019",184.80,188.75,180.07,183.97,"9,607,939,606","19,937,256,794"
ethereum,"Oct 30, 2019",190.34,191.11,181.55,184.69,"10,484,902,804","20,013,431,227"
ethereum,"Oct 29, 2019",182.67,191.85,182.36,190.34,"10,622,761,958","20,623,205,054"
ethereum,"Oct 28, 2019",184.40,187.88,180.25,182.66,"10,406,734,124","19,788,729,316"
ethereum,"Oct 27, 2019",179.93,188.16,177.68,184.24,"10,815,941,952","19,957,408,085"
